"Batch / Cron","Picked Name","Start Time","End Time","Status","ErrorLevel"
"Indexing(b)","2018-03-31_index_input.csv","2018-04-01 00:00:01","2018-04-01 00:00:01","Success","0"
"Indexing(b)","2018-04-05_index_input.csv","2018-04-06 00:00:01","2018-04-06 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-05_index_input.csv","2018-04-06 00:07:15","2018-04-06 00:07:15","Success"
"ReadChicagoFtp(c)","2018-04-06_search_input.csv","2018-04-06 07:31:01","2018-04-06 08:32:39","Success"
"Searching(b)","2018-04-06_search_input.csv","2018-04-06 11:01:00","2018-04-06 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-06_search_output.csv","2018-04-06 12:01:08","2018-04-06 12:01:09","Success"
"ImportToComptiscan(c)","2018-04-06_search_output.csv","2018-04-06 12:01:09","2018-04-06 15:34:20","Success"
"Indexing(b)","2018-04-06_index_input.csv","2018-04-07 00:00:01","2018-04-07 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-06_index_input.csv","2018-04-07 00:07:08","2018-04-07 00:07:08","Success"
"ReadChicagoFtp(c)","2018-04-07_search_input.csv","2018-04-07 07:31:01","2018-04-07 08:24:34","Success"
"Searching(b)","2018-04-07_search_input.csv","2018-04-07 11:01:00","2018-04-07 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-07_search_output.csv","2018-04-07 11:39:53","2018-04-07 11:39:53","Success"
"ImportToComptiscan(c)","2018-04-07_search_output.csv","2018-04-07 11:39:53","2018-04-07 13:16:43","Success"
"Indexing(b)","2018-04-07_index_input.csv","2018-04-08 00:00:01","2018-04-08 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-07_index_input.csv","2018-04-08 00:06:40","2018-04-08 00:06:40","Success"
"ReadChicagoFtp(c)","2018-04-08_search_input.csv","2018-04-08 07:31:01","2018-04-08 07:41:36","Success"
"Searching(b)","2018-04-08_search_input.csv","2018-04-08 11:01:00","2018-04-08 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-08_search_output.csv","2018-04-08 11:30:51","2018-04-08 11:30:51","Success"
"ImportToComptiscan(c)","2018-04-08_search_output.csv","2018-04-08 11:30:51","2018-04-08 11:39:22","Success"
"Indexing(b)","2018-04-08_index_input.csv","2018-04-09 00:00:01","2018-04-09 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-08_index_input.csv","2018-04-09 00:06:35","2018-04-09 00:06:35","Success"
"ReadChicagoFtp(c)","2018-04-09_search_input.csv","2018-04-09 07:31:01","2018-04-09 07:31:20","No data available"
"Searching(b)","2018-04-09_search_input.csv","2018-04-09 11:01:00","2018-04-09 11:01:00","No data available","0"
"Indexing(b)","2018-04-09_index_input.csv","2018-04-10 00:00:01","2018-04-10 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-09_index_input.csv","2018-04-10 00:07:09","2018-04-10 00:07:09","Success"
"ReadChicagoFtp(c)","2018-04-10_search_input.csv","2018-04-10 07:31:01","2018-04-10 07:31:19","No data available"
"Searching(b)","2018-04-10_search_input.csv","2018-04-10 11:01:00","2018-04-10 11:01:00","No data available","0"
"Indexing(b)","2018-04-10_index_input.csv","2018-04-11 00:00:01","2018-04-11 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-10_index_input.csv","2018-04-11 00:07:26","2018-04-11 00:07:26","Success"
